IP Address;TTL;Hostname;MAC Address;MAC Vendor;Latency;Is Alive;Open Ports;Username;NIC Speed;Operating System;Serial Number;Model;Processor;Memory;% Free Mem;Time;Reliability;model;SNMP Description;SNMP Name;SNMP Location;SNMP Uptime;CustomSNMP;Switch/Port
192.168.1.182;255;NPIC486BC;B4:B6:86:C4:86:BC;HewlettPackard Company;0;True;"80;443";;;;;;;;;;;;"HP ETHERNET MULTI-ENVIRONMENT;SN:PHBLL5H5CG;FN:3W920YP;SVCID:28316;PID:Magacin GP";NPIC486BC;Magacin GP;21d 22h 14m 46s 580ms;"HP ETHERNET MULTI-ENVIRONMENT;SN:PHBLL5H5CG;FN:3W920YP;SVCID:28316;PID:Magacin GP";192.168.1.16 | Port4
192.168.1.181;255;NPIC2B424;B4:B6:86:C2:B4:24;HewlettPackard Company;1;True;"80;443";;;;;;;;;;;;"HP ETHERNET MULTI-ENVIRONMENT;SN:PHBLL5SJM2;FN:1M9758G;SVCID:28264;PID:HP LaserJet MFP M426fdn";NPIC2B424;;9d 5h 49m 38s 100ms;"HP ETHERNET MULTI-ENVIRONMENT;SN:PHBLL5SJM2;FN:1M9758G;SVCID:28264;PID:HP LaserJet MFP M426fdn";192.168.1.122 | Port22
192.168.1.179;64;INV-HP454-PR;50:81:40:AB:99:5B;HP Inc.;0;True;"80;443";;;;;;;;;;;;HP ETHERNET MULTI-ENVIRONMENT;INV-HP454-PR;;28d 2h 43m 31s 720ms;HP ETHERNET MULTI-ENVIRONMENT;192.168.1.28 | Slot0/1
192.168.1.162;0;IT-ALEKSANDRA-N;F4:A8:0D:02:9B:1D;"Wistron InfoComm(Kunshan)Co;Ltd.";0;False;;;;;;;;;;;;;;;;;;192.168.1.27 | Slot0/9
192.168.1.184;255;NPI5FB4BE;10:62:E5:5F:B4:BE;HewlettPackard Company;0;True;"80;443";;;;;;;;;;;;"HP ETHERNET MULTI-ENVIRONMENT;SN:PHBLL6W814;FN:1M98130;SVCID:29043;PID:Poslovodje PX";NPI5FB4BE;Location_Not_Printable;11d 5h 52m 27s 60ms;"HP ETHERNET MULTI-ENVIRONMENT;SN:PHBLL6W814;FN:1M98130;SVCID:29043;PID:Poslovodje PX";192.168.1.18 | Port19
192.168.1.152;64;;A0:F3:C1:93:20:5B;TPLink Technologies;0;True;;;;;;;;;;;;;;;;;;192.168.1.18 | Port10-MP1
192.168.1.185;255;NPICFE416;C8:D9:D2:CF:E4:16;HewlettPackard Company;0;True;"80;443";;;;;;;;;;;;"HP ETHERNET MULTI-ENVIRONMENT;SN:PHBLL8S3TV;FN:1M9ALXK;SVCID:29098;PID:Investicije";NPICFE416;Investicije / Kancelarija 4;18d 4h 53m 46s 840ms;"HP ETHERNET MULTI-ENVIRONMENT;SN:PHBLL8S3TV;FN:1M9ALXK;SVCID:29098;PID:Investicije";192.168.1.157 | Port7
192.168.1.187;255;NPI538897;84:A9:3E:53:88:97;HewlettPackard Company;0;True;"80;443";;;;;;;;;;;;"HP ETHERNET MULTI-ENVIRONMENT;SN:PHBLLD58NR;FN:1MA0CET;SVCID:29249;PID:Racunovodstvo";NPI538897;Racunovodstvo;0d 0h 45m 23s 910ms;"HP ETHERNET MULTI-ENVIRONMENT;SN:PHBLLD58NR;FN:1MA0CET;SVCID:29249;PID:Racunovodstvo";192.168.1.25 | Slot0/15
192.168.1.178;128;ODR-GORAN-NB;B4:A9:FC:B9:18:99;Quanta Computer ;1;True;;;;;;;;;;;;;;;;;;192.168.1.157 | Port1
192.168.1.176;128;OPR-SIDJI-NB;7C:8A:E1:B2:E2:55;Compal Information (Kunshan);2;True;;;;;;;;;;;;;;;;;;192.168.1.122 | Port2
192.168.1.171;0;DESKTOP-3M0G2SQ;D0:37:45:E2:35:04;TPLink Technologies;0;False;;;;;;;;;;;;;;;;;;192.168.1.96 | Port3
192.168.1.188;255;NPI539834;84:A9:3E:53:98:34;HewlettPackard Company;0;True;"80;443";;;;;;;;;;;;"HP ETHERNET MULTI-ENVIRONMENT;SN:PHBLLD58NC;FN:1MA0CKK;SVCID:30227;PID:Patent CO. HR";NPI539834;HR;25d 6h 18m 35s 980ms;"HP ETHERNET MULTI-ENVIRONMENT;SN:PHBLLD58NC;FN:1MA0CKK;SVCID:30227;PID:Patent CO. HR";192.168.1.96 | Port18
192.168.1.189;64;BACKOFFICE;84:2A:FD:EA:17:CD;HP ;0;True;"80;443";;;;;;;;;;;;HP ETHERNET MULTI-ENVIRONMENT;BackOffice;;7d 1h 7m 6s 520ms;HP ETHERNET MULTI-ENVIRONMENT;192.168.1.122 | Port10-BO-HP
192.168.1.160;0;;0C:9D:92:4C:16:70;ASUSTek Computer ;0;False;;;;;;;;;;;;;;;;;;192.168.1.25 | Slot0/47
192.168.1.191;64;HP92E621;38:22:E2:92:E6:21;HP ;0;True;"80;443";;;;;;;;;;;;HP ETHERNET MULTI-ENVIRONMENT;HP92E621;;0d 23h 41m 4s 990ms;HP ETHERNET MULTI-ENVIRONMENT;192.168.1.11 | Port9-Canon4570
192.168.1.190;64;HPEA3715;84:2A:FD:EA:37:15;HP ;0;True;"80;443";;;;;;;;;;;;HP ETHERNET MULTI-ENVIRONMENT;HPEA3715;;11d 3h 14m 27s 60ms;HP ETHERNET MULTI-ENVIRONMENT;192.168.1.96 | Port6
192.168.1.195;64;HPED9D65;48:9E:BD:ED:9D:65;HP Inc.;0;True;"80;443";;;;;;;;;;;;HP ETHERNET MULTI-ENVIRONMENT;HPED9D65;;7d 0h 3m 20s 940ms;HP ETHERNET MULTI-ENVIRONMENT;192.168.1.36 | Port17
192.168.1.177;0;DESKTOP-1FUPNOL;A4:17:91:16:CE:39;Shenzhen Decnta Technology;0;False;;;;;;;;;;;;;;;;;;192.168.1.25 | Slot0/47
192.168.1.194;64;HPEA17CF;84:2A:FD:EA:17:CF;HP ;1;True;"80;443";;;;;;;;;;;;HP ETHERNET MULTI-ENVIRONMENT;HPEA17CF;;2d 23h 21m 56s 120ms;HP ETHERNET MULTI-ENVIRONMENT;192.168.1.122 | Port21
192.168.1.193;64;IT-NAS;00:00:C0:3B:DA:01;Western Digital Corporation;0;True;80;;;;;;;;;;;;;;;;;192.168.1.18 | Port11
192.168.1.197;128;SIL-MISICEVO-PC;D8:BB:C1:7E:B9:32;"Micro-Star INTL CO; LTD.";0;True;3389;;;;;;;;;;;;;;;;;192.168.1.253 | Port24-NewComp
192.168.1.200;128;IT-IGOR-NB;F4:A8:0D:02:21:B4;"Wistron InfoComm(Kunshan)Co;Ltd.";2;True;3389;;;;;;;;;;;;;;;;;192.168.1.27 | Slot0/7
